"aq_id","CC","CountryName","countries","code","name","IGRAC.region","Comment"
48,"MLI","Mali","Algeria; Benin; Mali; Niger; Nigeria","AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","Africa","Original IGRAC entry"
48,"NER","Niger","Algeria; Benin; Mali; Niger; Nigeria","AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","Africa","Original IGRAC entry"
48,"NGA","Nigeria","Algeria; Benin; Mali; Niger; Nigeria","AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","Africa","Original IGRAC entry"
48,"TGO","Togo","Algeria; Benin; Mali; Niger; Nigeria","AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","Africa","Discarded: BorderResolution"
223,"ESH","Western Sahara","Gambia (Republic of The); Guinea-Bissau; Mauritania; Senegal","AF058","Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM)","Africa","Added to IGRAC"
223,"GMB","Gambia, The","Gambia (Republic of The); Guinea-Bissau; Mauritania; Senegal","AF058","Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM)","Africa","Added to IGRAC"
223,"GNB","Guinea-Bissau","Gambia (Republic of The); Guinea-Bissau; Mauritania; Senegal","AF058","Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM)","Africa","Original IGRAC entry"
223,"MRT","Mauritania","Gambia (Republic of The); Guinea-Bissau; Mauritania; Senegal","AF058","Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM)","Africa","Original IGRAC entry"
223,"SEN","Senegal","Gambia (Republic of The); Guinea-Bissau; Mauritania; Senegal","AF058","Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM)","Africa","Original IGRAC entry"
237,"DJI","Djibouti","Djibouti; Ethiopia","AF059","Afar Rift Valley / Afar Triangle Aquifer","Africa","Original IGRAC entry"
237,"ERI","Eritrea","Djibouti; Ethiopia","AF059","Afar Rift Valley / Afar Triangle Aquifer","Africa","Added to IGRAC"
237,"ETH","Ethiopia","Djibouti; Ethiopia","AF059","Afar Rift Valley / Afar Triangle Aquifer","Africa","Original IGRAC entry"
32,"ERI","Eritrea","Ethiopia; Sudan","AF061","Gedarif-Adigrat","Africa","Discarded: BorderResolution"
32,"ETH","Ethiopia","Ethiopia; Sudan","AF061","Gedarif-Adigrat","Africa","Original IGRAC entry"
32,"SDN","Sudan","Ethiopia; Sudan","AF061","Gedarif-Adigrat","Africa","Original IGRAC entry"
226,"SDN","Sudan","Chad; Sudan","AF062","Disa","Africa","Original IGRAC entry"
226,"TCD","Chad","Chad; Sudan","AF062","Disa","Africa","Original IGRAC entry"
392,"EGY","Egypt","Chad; Egypt; Libya; Sudan","AF063","Nubian Sandstone Aquifer System","Africa","Original IGRAC entry"
392,"LBY","Libya","Chad; Egypt; Libya; Sudan","AF063","Nubian Sandstone Aquifer System","Africa","Original IGRAC entry"
392,"SDN","Sudan","Chad; Egypt; Libya; Sudan","AF063","Nubian Sandstone Aquifer System","Africa","Original IGRAC entry"
392,"TCD","Chad","Chad; Egypt; Libya; Sudan","AF063","Nubian Sandstone Aquifer System","Africa","Original IGRAC entry"
49,"BFA","Burkina Faso","Algeria; Burkina Faso; Mali; Mauritania","AF064","Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft","Africa","Original IGRAC entry"
49,"DZA","Algeria","Algeria; Burkina Faso; Mali; Mauritania","AF064","Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft","Africa","Original IGRAC entry"
49,"GIN","Guinea","Algeria; Burkina Faso; Mali; Mauritania","AF064","Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft","Africa","Discarded: BorderResolution"
49,"MLI","Mali","Algeria; Burkina Faso; Mali; Mauritania","AF064","Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft","Africa","Original IGRAC entry"
49,"MRT","Mauritania","Algeria; Burkina Faso; Mali; Mauritania","AF064","Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft","Africa","Original IGRAC entry"
49,"NER","Niger","Algeria; Burkina Faso; Mali; Mauritania","AF064","Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft","Africa","Discarded: BorderResolution"
47,"DZA","Algeria","Algeria; Chad; Libya; Niger","AF067","Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System","Africa","Original IGRAC entry"
47,"LBY","Libya","Algeria; Chad; Libya; Niger","AF067","Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System","Africa","Original IGRAC entry"
47,"NER","Niger","Algeria; Chad; Libya; Niger","AF067","Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System","Africa","Original IGRAC entry"
47,"TCD","Chad","Algeria; Chad; Libya; Niger","AF067","Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System","Africa","Original IGRAC entry"
51,"DZA","Algeria","Algeria; Mauritania; Morocco; Western Sahara","AF068","Système Aquifère de Tindouf","Africa","Original IGRAC entry"
51,"ESH","Western Sahara","Algeria; Mauritania; Morocco; Western Sahara","AF068","Système Aquifère de Tindouf","Africa","Original IGRAC entry"
51,"MAR","Morocco","Algeria; Mauritania; Morocco; Western Sahara","AF068","Système Aquifère de Tindouf","Africa","Original IGRAC entry"
51,"MRT","Mauritania","Algeria; Mauritania; Morocco; Western Sahara","AF068","Système Aquifère de Tindouf","Africa","Original IGRAC entry"
315,"DZA","Algeria","Algeria; Libya; Tunisia","AF069","North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional","Africa","Original IGRAC entry"
315,"LBY","Libya","Algeria; Libya; Tunisia","AF069","North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional","Africa","Original IGRAC entry"
315,"TUN","Tunisia","Algeria; Libya; Tunisia","AF069","North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional","Africa","Original IGRAC entry"
72,"DZA","Algeria","Algeria; Morocco","AF070","Système Aquifère d'Errachidia","Africa","Original IGRAC entry"
72,"MAR","Morocco","Algeria; Morocco","AF070","Système Aquifère d'Errachidia","Africa","Original IGRAC entry"
272,"KEN","Kenya","Kenya; United Republic of Tanzania","AF072","Rift Aquifer","Africa","Original IGRAC entry"
272,"TZA","Tanzania","Kenya; United Republic of Tanzania","AF072","Rift Aquifer","Africa","Original IGRAC entry"
34,"DZA","Algeria","Algeria; Morocco","AF074; AF078","Nappe de la Plaine des Angad et de Maghnia; Nappe profonde de Jbel-Hamra","Africa","Original IGRAC entry"
34,"MAR","Morocco","Algeria; Morocco","AF074; AF078","Nappe de la Plaine des Angad et de Maghnia; Nappe profonde de Jbel-Hamra","Africa","Original IGRAC entry"
33,"MAR","Morocco","Algeria; Morocco","AF075","Aïn Béni Mathar","Africa","Original IGRAC entry"
35,"DZA","Algeria","Algeria; Morocco","AF076","Chott Tigri-Lahouita","Africa","Original IGRAC entry"
35,"MAR","Morocco","Algeria; Morocco","AF076","Chott Tigri-Lahouita","Africa","Original IGRAC entry"
39,"DZA","Algeria","Algeria; Morocco","AF077","Figuig Oasis","Africa","Original IGRAC entry"
39,"MAR","Morocco","Algeria; Morocco","AF077","Figuig Oasis","Africa","Original IGRAC entry"
40,"LBY","Libya","Libya; Tunisia","AF079","Coastal Aquifer System of the Jeffara Plain / Système Aquifère Côtier de la Plaine de la Djeffara","Africa","Original IGRAC entry"
40,"TUN","Tunisia","Libya; Tunisia","AF079","Coastal Aquifer System of the Jeffara Plain / Système Aquifère Côtier de la Plaine de la Djeffara","Africa","Original IGRAC entry"
266,"AGO","Angola","Angola; Congo; Democratic Republic of the Congo; Gabon","AF081","Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier","Africa","Original IGRAC entry"
266,"COD","Congo, Dem Rep of the","Angola; Congo; Democratic Republic of the Congo; Gabon","AF081","Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier","Africa","Added to IGRAC"
266,"COG","Congo, Rep of the","Angola; Congo; Democratic Republic of the Congo; Gabon","AF081","Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier","Africa","Added to IGRAC"
266,"GAB","Gabon","Angola; Congo; Democratic Republic of the Congo; Gabon","AF081","Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier","Africa","Original IGRAC entry"
265,"COG","Congo, Rep of the","Congo; Gabon","AF082","Aquifère du Bassin de la Nyanga","Africa","Added to IGRAC"
265,"GAB","Gabon","Congo; Gabon","AF082","Aquifère du Bassin de la Nyanga","Africa","Original IGRAC entry"
310,"BDI","Burundi","Democratic Republic of the Congo; Rwanda; Uganda","AF083","Aquifère du Rift / Rift Aquifer","Africa","Added to IGRAC"
310,"COD","Congo, Dem Rep of the","Democratic Republic of the Congo; Rwanda; Uganda","AF083","Aquifère du Rift / Rift Aquifer","Africa","Added to IGRAC"
310,"RWA","Rwanda","Democratic Republic of the Congo; Rwanda; Uganda","AF083","Aquifère du Rift / Rift Aquifer","Africa","Original IGRAC entry"
310,"SSD","South Sudan","Democratic Republic of the Congo; Rwanda; Uganda","AF083","Aquifère du Rift / Rift Aquifer","Africa","Discarded: BorderResolution"
310,"UGA","Uganda","Democratic Republic of the Congo; Rwanda; Uganda","AF083","Aquifère du Rift / Rift Aquifer","Africa","Original IGRAC entry"
405,"MOZ","Mozambique","Malawi; Mozambique","AF090","Colluvium and residual soils","Africa","Original IGRAC entry"
405,"MWI","Malawi","Malawi; Mozambique","AF090","Colluvium and residual soils","Africa","Original IGRAC entry"
409,"MOZ","Mozambique","Malawi; Mozambique","AF094","River alluvium","Africa","Original IGRAC entry"
409,"MWI","Malawi","Malawi; Mozambique","AF094","River alluvium","Africa","Original IGRAC entry"
353,"MOZ","Mozambique","Malawi; Mozambique","AF095","Ruo River","Africa","Original IGRAC entry"
353,"MWI","Malawi","Malawi; Mozambique","AF095","Ruo River","Africa","Original IGRAC entry"
342,"MOZ","Mozambique","Malawi; Mozambique","AF102","Mwanza gritty conglomerates","Africa","Original IGRAC entry"
342,"MWI","Malawi","Malawi; Mozambique","AF102","Mwanza gritty conglomerates","Africa","Original IGRAC entry"
343,"MOZ","Mozambique","Malawi; Mozambique","AF103","Basalt lava flow","Africa","Original IGRAC entry"
343,"MWI","Malawi","Malawi; Mozambique","AF103","Basalt lava flow","Africa","Original IGRAC entry"
354,"MOZ","Mozambique","Malawi; Mozambique","AF104","Mwanza grits and shales","Africa","Original IGRAC entry"
354,"MWI","Malawi","Malawi; Mozambique","AF104","Mwanza grits and shales","Africa","Original IGRAC entry"
344,"MOZ","Mozambique","Malawi; Mozambique","AF105","Upper sandstones (grits and sandstones)","Africa","Original IGRAC entry"
344,"MWI","Malawi","Malawi; Mozambique","AF105","Upper sandstones (grits and sandstones)","Africa","Original IGRAC entry"
352,"MOZ","Mozambique","Malawi; Mozambique","AF106","Lower sandstones","Africa","Original IGRAC entry"
