system:index,Aquifer,Broader,CS_max,CS_min,GWIrKHaKm2,RDS_main,RDS_mainDist,RDS_tot,STS,area_km2,compact,constant,crpkHaKm2,elev,elong,lat_c,lon_c,m_per_year,ntl,perim_km,pet_mm,pop,prec_mm,slope,urbkHaKm2,.geo
00000000000000000560,Eastern Washoe Valley,-,7099.654384672071,1554.3466132399901,0.0,0.0,0.8294500665019154,1188.786661753869,1.356976172930484,24.661298632053178,0.44193898211041377,1.0,0.0017126532546932324,1574.70486366986,1.5277680112784098,39.28230035190854,-119.77215026632429,-0.7094225,0.9156424453373595,26.480839411001863,1085.1691565619344,7.377097808927284,21.441822424689047,3.030157167174774,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000561,Long Valley in central Nevada,-,-1.0,-1.0,0.0,0.0,237.29642078642192,0.0,2.557530819150879,577.5261666691489,0.5322902555979547,1.0,0.0,1892.739503244807,1.7466049367148493,39.722954667543775,-115.40080750945444,-0.00101667,0.29754610398808123,116.76602799624746,1105.8235195000366,0.0,24.388011075860543,1.0425770521132491,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000562,Socorro Basin,-,4554.970657337821,1340.5874062437058,0.0014750870189933216,96.34604244047098,7.383094808732328,231.1678068584262,2.7664953499755236,1127.4085230683709,0.30524286633488246,1.0,0.004176595482299149,1466.2641329071992,2.0991951175593813,33.9692941671574,-106.86672950820149,0.0133157,0.5726789697263761,215.43825727940037,1421.1018301046201,0.6233023876562784,17.432815762357095,1.3906027099672578,9.100425660792942E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000563,Engle Basin,-,5785.31234224448,2163.268865866456,4.6010674693951283E-5,66.25672243625309,6.257482292898521,201.31136543014975,3.372510100260223,836.7412650405367,0.4417966854540478,1.0,1.6347746551070367E-4,1569.003981495229,1.0908052465623137,33.3394487206771,-107.3395732497684,-0.02210657,0.3385251270939577,154.27277767174039,1461.9630673308088,0.2060626178871616,20.80445464633285,1.4928164972701148,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000564,Palomas Basin,-,7501.704143112546,3097.3630793364373,4.8486401616432096E-4,121.89625166644271,16.465637396701773,256.5033380527681,3.627856205367754,634.5285673710097,0.6643258433404086,1.0,6.014401801041971E-4,1434.5727705837967,1.4256222107017686,33.08271459386036,-107.35861068891884,-0.02399655,0.5440776988018656,109.5569537105991,1493.0782647167628,0.7666986934623111,21.269722782531073,1.4071424851824015,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000565,Las Vegas Basin of northeast New Mexico,-,3074.1228610043145,1223.6972370014457,1.0547264488964247E-4,52.87945586857709,12.894906335105961,120.63564194302693,1.4612984499357629,5321.1055001514305,0.4514651256855934,1.0,1.5338001126943018E-4,1979.6496629569679,1.1266229421689116,35.877335761389965,-104.82456432606885,0.03583806,0.40385063025928297,384.8520132810493,1225.802666797352,0.23279939654775,31.824017298212187,1.2958348540569826,2.712230260919338E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000568,Gypsum Hills,-,9997.688099980345,4722.156838828662,0.0012988129743846067,0.0,28.413679209200424,66.38350327033906,1.0540085390223695,13261.148145751466,0.1374920959326138,1.0,0.017548949596288187,577.9133787755206,2.966506953416781,37.01789361707408,-99.31349327908926,0.0856488,0.363310638829725,1100.92219966478,1304.96633745668,0.07906584695043004,51.11308746437332,0.5845979710641793,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000569,Dakota Aquifer in southeast Nebraska,-,9683.33133505489,5211.344867259986,0.013287458122443809,26.557429639548847,4.604583395750853,566.3190926704297,1.0695471194987554,5082.615699762899,0.6690810990419728,1.0,0.06160884318524227,412.08488626428084,1.368013853861771,41.00902594220989,-96.79142402554652,-0.05634975,2.1417961352379575,308.9649312133869,885.3440837206897,4.059589807642116,69.41007295426631,0.5070391573576242,0.0029790136048203006,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000056a,Bone Spring-Victorio Peak Aquifer and Dell Valley,-,5268.86739476987,721.4842867547014,0.0078736248784161,0.0,16.914641564876018,70.42814729392082,3.5324446856380516,1470.56446613708,0.47358103156281367,1.0,0.006648853937285718,1130.2447873916049,1.033451423628755,31.811169480519006,-105.02409862049527,0.301604,0.3241340728245818,197.53761970270193,1625.6434400135345,0.02409960188950091,20.393886530056427,0.510270594567661,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000056b,Crow Flats,-,1137.2602331965818,316.47512614773217,0.0,0.0,15.820522974196594,52.76158271384065,3.8842885345013713,429.1983107008608,0.4139526032766849,1.0,3.853714195008071E-4,1181.3738394151576,1.6923498543116735,32.25540270631287,-105.09280039754991,0.23130889,0.3014929530171522,114.14545534467642,1608.8598397217445,0.001125535187049204,21.079983317396103,0.9519711109411584,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
