system:index,Area,CC,CR,CR3,CntryNm,GW,GW3,IR,IR3,Region,UR,aq_id,code,countrs,name,.geo
0000000000000000031b,1.6006438249649515E9,USA,1.8520212960572313,1.781122549902618,United States,0.38708740583857515,0.3052025337645624,1.3003511856451002,0.7984840281802363,AMER,29.63217365843136,327,N015,Mexico; United States of America,Valle de Juarez Bolson / Hueco-Tularosa Bolson,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000031c,6.194393634595588E8,MEX,0.017449270109858216,0.016865452162731272,Mexico,0.0,0.0,0.002467554283256276,0.002464219235415894,AMER,0.0,346,N018,Mexico; United States of America,Las Palmas Aquifer / Mimbres Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000031d,6.685407749107842E8,USA,0.19065711120701237,0.1883877979677718,United States,0.04269261439976703,0.04264231234417857,0.06359786252715391,0.06351329065831601,AMER,0.0,346,N018,Mexico; United States of America,Las Palmas Aquifer / Mimbres Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000031e,3.3652868096872544E9,CAN,5.484220506942847,5.482660838596754,Canada,4.017201010214712E-4,0.0,0.013696586912484363,0.0,AMER,0.0,70,N019,Canada; United States of America,Judith River,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000031f,3.0511623681345596E9,USA,3.66999535999419,3.5961088113220914,United States,0.0028172476270726526,0.0,0.09589876692652337,0.0,AMER,0.0,70,N019,Canada; United States of America,Judith River,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000320,1.6727883450749998E9,CAN,2.7773770149561425,2.7773770149561425,Canada,0.0010994879782239256,0.0,0.06889994486845533,0.0,AMER,0.0,69,N020,Canada; United States of America,Milk River,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000321,1.452376931111275E9,USA,3.3551956333453856,3.3551956333453856,United States,4.6195950979914123E-4,0.0,0.025602015757016216,0.0,AMER,0.0,69,N020,Canada; United States of America,Milk River,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000322,1.0886271161360295E9,CAN,2.1679605927174608,0.0,Canada,0.003280207607165007,0.0,0.006560145219958769,0.0,AMER,0.0,58,N021,Canada; United States of America,Richelieu/Lake Champlain and Yamaska,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000323,1.0615556875208337E9,USA,1.7891244447241075,0.0,United States,0.0029715242635842986,0.0,0.009120142590941101,0.0,AMER,0.0,58,N021,Canada; United States of America,Richelieu/Lake Champlain and Yamaska,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000324,4.932128127527697E9,CAN,16.172179951709676,15.943571105783231,Canada,7.841509043432135E-5,0.0,0.0024678202750324316,0.0,AMER,0.0,359,N022a,Canada; United States of America,Northern Great Plains - Upper Cretaceous Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000325,4.780324639529907E9,USA,16.134821923735178,13.657200787476006,United States,0.0043556932163670665,0.0,0.02976557207318535,0.0,AMER,0.0,359,N022a,Canada; United States of America,Northern Great Plains - Upper Cretaceous Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000326,4.1812373159147053E9,CAN,13.173481993128355,12.979252303186014,Canada,7.841509043432135E-5,0.0,0.0024678202750324316,0.0,AMER,0.0,360,N022b,Canada; United States of America,Northern Great Plains - Lower Tertiary Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000327,3.7498161808823566E9,USA,12.43557916940501,10.486814714542462,United States,0.0043556932163670665,0.0,0.02976557207318535,0.0,AMER,0.0,360,N022b,Canada; United States of America,Northern Great Plains - Lower Tertiary Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000328,1.627567690637255E8,MEX,0.0,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.0,330,N025,Mexico; United States of America,Laguna Salada Aquifer / Coyote Wells Valley,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000329,1.5806205958529413E8,USA,0.0,0.0,United States,0.0,0.0,0.0,0.0,AMER,0.0,330,N025,Mexico; United States of America,Laguna Salada Aquifer / Coyote Wells Valley,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032a,2.0732469165029411E9,MEX,3.766915635281485,3.758486889949608,Mexico,0.8471347981936717,0.8461556581565071,3.0719418568933112,3.0689388766173265,AMER,24.866717817867638,368,N026,Mexico; United States of America,Valle de Mexicali - San Luis Rio Colorado Aquifer / Yuma - Imperial Valley,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032b,2.405613033196079E9,USA,4.9340449072613985,4.9039030468854214,United States,1.224035263262349,1.2196646561504159,4.6132505251266505,4.596454961521365,AMER,9.824598405784318,368,N026,Mexico; United States of America,Valle de Mexicali - San Luis Rio Colorado Aquifer / Yuma - Imperial Valley,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032c,2.1674307495490196E8,MEX,0.0,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.0,341,N031,Mexico; United States of America,Sonoyta-Puerto Penasco Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032d,5.3112678802941196E7,USA,0.0,0.0,United States,0.0,0.0,0.0,0.0,AMER,0.0,341,N031,Mexico; United States of America,Sonoyta-Puerto Penasco Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032e,1.324950108497549E8,MEX,0.0,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.5870790056862745,336,N035,Mexico; United States of America,La Abra Plain,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032f,1.359632376112745E8,USA,0.0,0.0,United States,0.0,0.0,0.0,0.0,AMER,0.0,336,N035,Mexico; United States of America,La Abra Plain,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000330,4.2544943976176476E8,MEX,1.1914260040898808E-4,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.0,338,N041,Mexico; United States of America,San Simon Wash,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000331,5.790489542112745E8,USA,0.0,0.0,United States,0.0,0.0,0.0,0.0,AMER,0.0,338,N041,Mexico; United States of America,San Simon Wash,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000332,7.605694410392156E7,MEX,9.595090251908851E-4,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.0,335,N045,Mexico; United States of America,Rio Altar Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000333,4.4204602306127466E7,USA,5.567880222879246E-5,0.0,United States,0.0,0.0,0.0,0.0,AMER,0.0,335,N045,Mexico; United States of America,Rio Altar Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
