"aq_id","CntrName","type","area_km2","lat_c","lon_c","CS_max","RDS_mainDist","GW","Ir","IrNeed3","IrNeed0","OverIR3","OverIR6","giniIr","giniGw","giniIr_Need","giniCSI","gini_crpGWSpct_gt0","gini_gwpct_gt0","RiverBorder"
338,"Mexico","treat",733.467913946428,31.493734830792,-111.848642170381,-1,2.13155499189439,0,0,0,1.68461212445607e-05,0,0,NA,NA,NA,0.275595172396494,NA,NA,TRUE
338,"United States","treat",6931.32349398409,32.1047603115689,-112.094504062802,307.463162697012,51.1105861242566,0,0.000572851606180666,0.0010892368337524,0.00120920663932761,0,0,0.880543508694393,NA,0.967062696630049,0.852361761467615,0.967062696630049,0.969237597263807,TRUE
335,"Mexico","treat",446.619123130052,31.2245319827125,-111.267453072438,7108.08363132051,0.0838682771072678,0.00341439603349489,0.00341439603349489,0,0.00904717743249976,0,0,-0.118382575506289,-0.0498767778870446,NA,0.62035713481956,NA,-0.0498767778870446,TRUE
335,"United States","treat",44.2641940924468,31.4509352900338,-111.35074353527,94.8297117851215,0,0,0,0,0.000120838441383969,0,0,-0.593986297709623,-0.593986297709623,NA,0.961722999909591,NA,-0.593986297709623,TRUE
337,"Mexico","treat",399.23161580041,31.2600015504692,-109.571428855561,4840.31426160054,0,0.00133101350148116,0.00133101350148116,0,0.00594607765260886,0,0,0.103647035151683,0.103647035151683,NA,-0.938485831960429,NA,0.103647035151683,TRUE
337,"United States","treat",1666.64976887293,31.5812512712724,-109.679974198011,5980.34180962866,6.58457406406774,0.0135266940264008,0.0135266940264008,0.0232413814950005,0.0317408669688174,0.0113066409054566,0.0113066409054566,0.665280980217322,0.665280980217322,0.664635641955657,0.489446262738642,0.664635641955657,0.665280980217322,TRUE
331,"Mexico","treat",2509.94115520513,30.9958682875521,-108.551681656731,6113.15372689279,0.473094854496759,0.0263988414129635,0.0265939905729249,0.0434839626916014,0.053536210610193,0.0237434324076101,0.0237434324076101,0.352783690396525,0.35676575201327,0.546875064484467,-0.202911631724871,0.546875064484467,0.35676575201327,TRUE
331,"United States","treat",1505.16297529939,31.6823492309329,-108.54382704202,2732.13657844781,33.4668863339759,0.000961279621310189,0.00181446833852329,0,0.0058607585093806,0,0,-0.131057934836867,-0.175136608555803,NA,0.822303128920227,NA,-0.175136608555803,TRUE
334,"Mexico","treat",3326.75647503623,31.285076275379,-108.03254873635,3682.2473175259,2.6797455345016,0.039523907130198,0.0413535183219808,0.0652036823921685,0.0721453759241178,0.0404350172093404,0.0404350172093404,0.0548560831185148,0.0216486856869568,0.0055662635270114,0.676237880917762,0.0055662635270114,0.0216486856869568,TRUE
334,"United States","treat",1237.22508135183,31.7616834225061,-108.267127239277,439.973827127301,15.8976785305206,0,0,0.000290089548438015,0.000802630142931314,0,0,-0.974621454464774,-0.974621454464774,-0.974589011389727,0.741461441881161,-0.974589011389727,-0.974621454464774,TRUE
332,"Mexico","treat",47.1408399610497,31.7654336793399,-107.185453487758,4251.68202797699,0,0,0,0,0,0,0,NA,NA,NA,0.877162041412744,NA,NA,FALSE
332,"United States","treat",1061.93750207048,31.9735462067773,-107.145426292144,4181.74653183708,95.6996537632928,0,0,0,4.13567640120286e-05,0,0,NA,NA,NA,-0.0541436193270286,NA,NA,FALSE
326,"Mexico","treat",450.738916492658,30.587759188506,-105.085561004214,1709.13070165601,7.10708147238759,0,0,0,0.00127826006064171,0,0,NA,NA,NA,1,NA,NA,FALSE
326,"United States","treat",497.038198930149,30.8955647383436,-105.212023497762,4989.9517414314,49.8224913011386,0,0,0,0.000239999992369037,0,0,NA,NA,NA,0.769858164109827,NA,NA,FALSE
325,"Mexico","treat",228.34267422965,30.4048085112292,-104.894791498904,5015.84070102788,0.38223286419441,0,0,0,0.000673329903146775,0,0,-0.983535654310556,NA,NA,0.591051097074426,NA,-0.983535654310556,FALSE
325,"United States","treat",119.412923746488,30.662079663823,-104.937124089561,7775.74314411466,18.7951258725923,0,0,0,0.00369446029769496,0,0,-0.996767853207657,NA,NA,0.791578118853038,NA,-0.996767853207657,FALSE
328,"Mexico","treat",683.496988637604,29.7965046740655,-104.616896920841,3199.19963726708,0.398307130411875,0,0.0261016966418393,0.0340008052047923,0.0444919977276697,0.0260166181418982,0.019381871040601,0.123581207726572,NA,0.130160629457175,0.84617138960762,0.130160629457175,0.00524482118712422,FALSE
328,"United States","treat",1171.09982022347,29.7695075561628,-104.457056918265,2583.521315423,7.89193523351779,0,0.00349787886152339,0.00400372477223875,0.0063962981565943,0.00310634594226744,0.00295666082326848,-0.884921366425688,NA,-0.945927961676003,0.973595184572498,-0.945927961676003,-0.8923025708805,FALSE
324,"Mexico","treat",230.618587069976,29.3904149629272,-104.185548924196,2206.17170327638,0.938708473876173,0,0.0143183361605617,0.0217858453708002,0.0301203025430199,0.0101703879672902,0.0101703879672902,-0.843774859804035,NA,-0.728653532106822,0.960974718625067,-0.728653532106822,-0.843774859804035,FALSE
324,"United States","treat",64.7740969643016,29.4483774895913,-104.18114656869,2684.55677867903,0.790071704645192,0,0.0241074726484163,0.0261990071760405,0.028165196799417,0.0225623083150446,0.0225623083150446,-0.567709631749429,NA,-0.447423110753855,0.958999797433697,-0.447423110753855,-0.567709631749429,FALSE
