"aq_id","CountryName","type","area_km2","lat_c","lon_c","CSI","RDS_mainDist","GWIrrig","Irrig","IrrigNeed","IrNeed0","Overdraft","OverIR6","G_Irrig","G_IrrigGW","G_IrrigNeed","G_CSI","gini_crpGWSpct_gt0","gini_gwpct_gt0","RiverBorder","IGRAC_Code","CountryCode","Countries","AquiferName","Region"
327,"United States","treat",5651.65122488347,31.8484287035099,-106.090221954238,3096.41496179327,13.7619137937697,0.00572838139947182,0.0258995200681418,0.0324625156909416,0.0339031398989481,0.0154432538062962,0.0154432538062962,-0.804413651312353,-0.907320975088121,-0.829464581542107,0.223727722935927,-0.829464581542107,-0.802885450567174,FALSE,"N015","USA","Mexico; United States of America","Valle de Juarez Bolson / Hueco-Tularosa Bolson","AMER"
346,"Mexico","treat",2975.62869759877,31.5321201647291,-107.557261501669,2115.44223673102,0.618252312152085,0.00230920954911292,0.00266168525798318,0.00621053617351715,0.0069908718022771,0.00228941406880611,0.00228941406880611,0.180817874636778,0.219418457724594,-0.0148072575161886,0.748634191102022,-0.0148072575161886,0.219418457724594,TRUE,"N018","MEX","Mexico; United States of America","Las Palmas Aquifer / Mimbres Basin","AMER"
346,"United States","treat",8246.88140314073,32.2599781569757,-107.781296175596,3689.8931521798,31.2657597239968,0.00353756684581655,0.00370287299016079,0.00779626685740123,0.0103901545641935,0.00316600414217781,0.00316600414217781,-0.325882354794717,-0.28784729346125,-0.353787728376258,0.424200311102817,-0.353787728376258,-0.28784729346125,TRUE,"N018","USA","Mexico; United States of America","Las Palmas Aquifer / Mimbres Basin","AMER"
70,"Canada","treat",136778.776331683,50.6996484442512,-107.575131902826,9211.15992110273,19.6835977585798,0,0.0033468241480341,0.365330344579006,0.365802278647085,0,0,0.138928319403031,NA,0.0444370425221947,-0.484930220252562,0.0444370425221947,0.141724739575063,TRUE,"N019","CAN","Canada; United States of America","Judith River","AMER"
70,"United States","treat",31603.7816601493,48.5003349956704,-107.4413141544,7683.71292175679,76.835413285419,0,0.00622182309825225,0.107846340302952,0.124786421477801,0.00052730820537748,0,-0.0274243380518309,NA,-0.17891386917131,0.364559346046162,-0.17891386917131,-0.0274243380518309,TRUE,"N019","USA","Canada; United States of America","Judith River","AMER"
69,"Canada","treat",14505.0074164646,49.4181455120297,-111.382686349643,8162.83767026301,19.006719271664,0,0.0440744528784202,0.32766496583499,0.328847231333174,0.0153194260137216,0.0153194260137216,0.58838355166894,NA,0.129777234801114,-0.399185242435666,0.129777234801114,0.611069184015909,TRUE,"N020","CAN","Canada; United States of America","Milk River","AMER"
69,"United States","treat",11044.8212369206,48.645369683375,-110.74064430984,7191.45182112498,17.1283737807051,0,0.00344987257572513,0.352924792709001,0.352924792709001,0,0,-0.152057401129318,NA,0.0371406521352399,-0.596817417419278,0.0371406521352399,-0.152057401129318,TRUE,"N020","USA","Canada; United States of America","Milk River","AMER"
58,"Canada","treat",9063.33607689088,45.4586636593343,-72.895850470308,7137.22600641696,1.24494246239459,0.00294310581469397,0.00294310581469397,0,0.348263133423589,0,0,-0.167308532919874,-0.169021903326171,NA,-0.165521555572549,NA,-0.169021903326171,TRUE,"N021","CAN","Canada; United States of America","Richelieu/Lake Champlain and Yamaska","AMER"
58,"United States","treat",7627.04582454619,44.7092922609852,-73.2086701710644,6740.91664409138,2.81127869503204,0,0.000198315824132696,0,0.0853112755487187,0,0,-0.662651031363378,NA,NA,0.396522382619694,NA,-0.66265103136338,TRUE,"N021","USA","Canada; United States of America","Richelieu/Lake Champlain and Yamaska","AMER"
359,"Canada","treat",30264.8992380272,49.3525391766157,-103.832375911539,9524.1513469039,16.9116351649402,0,8.75875180641393e-06,0.345423294028689,0.349359594936514,0,0,-0.586043044038891,NA,0.00998498868165776,0.582227254328237,0.00998498868165776,-0.991349382951289,TRUE,"N022a","CAN","Canada; United States of America","Northern Great Plains - Upper Cretaceous Aquifer System","AMER"
359,"United States","treat",266276.824275837,46.5670483450721,-103.845045150565,7194.08872709642,34.7543928790251,7.60867367678345e-05,0.00185118992567034,0.132917698070261,0.150296195396136,0.000210219690632435,0,-0.0200854512129274,-0.187399784336699,-0.28576305877774,0.402038050342011,-0.28576305877774,-0.121322744117649,TRUE,"N022a","USA","Canada; United States of America","Northern Great Plains - Upper Cretaceous Aquifer System","AMER"
360,"Canada","treat",19360.4804941033,49.2644476999063,-104.044362609352,9610.40130550446,17.456172230774,0,5.01598231287646e-06,0.326798004679851,0.331143313300711,0,0,-0.444572738811304,NA,0.00826753495972588,0.278712609445275,0.00826753495972588,-0.989397951675807,TRUE,"N022b","CAN","Canada; United States of America","Northern Great Plains - Lower Tertiary Aquifer System","AMER"
360,"United States","treat",222131.02346786,46.557225095107,-104.138752584913,7124.79713509987,34.1992960951038,3.9746246938033e-05,0.00203943447761469,0.133481879305014,0.15013495804784,0.000241940071860398,0,-0.037554751523005,-0.379268386562929,-0.2910957794504,0.40852675014261,-0.2910957794504,-0.140656273578741,TRUE,"N022b","USA","Canada; United States of America","Northern Great Plains - Lower Tertiary Aquifer System","AMER"
