"HYBAS_ID","area_km2","name","aq_id","dist_km","lev"
5060048610,12657.5935675287,"Papua New Guinea",456,634.46124941019,6
5060048620,4335.04832432342,"Papua New Guinea",456,747.023271826483,6
5060048810,3904.10976627454,"Papua New Guinea",456,800.193568352037,6
5060048820,14366.1519814511,"Papua New Guinea",456,923.447457965678,6
5060049190,6003.9460628216,"Papua New Guinea",456,1039.71184435788,6
5060050310,5785.88020384265,"Indonesia",456,601.761734210903,6
5060050910,36329.6662479034,"Papua New Guinea",456,912.268924494796,6
5060052710,9056.53637527897,"Papua New Guinea",456,997.278199573348,6
5060011520,811.818466991664,"Indonesia",457,955.038063635031,6
5060013340,3108.03372490319,"Indonesia",457,116.33858113105,6
5060014000,499.569665340589,"Indonesia",457,347.646148027095,6
5060014020,1424.29878858876,"Indonesia",457,264.58519399478,6
5060015150,2912.64050408489,"Indonesia",457,212.142274712334,6
5060015300,520.437879731158,"Indonesia",457,389.553654578111,6
5060015350,1695.42643445325,"Indonesia",457,401.618172104275,6
5060036230,1352.4245475286,"Indonesia",457,523.78082646091,6
5060036740,555.301589452583,"Indonesia",457,469.189002979648,6
5060036790,3465.3506121353,"Indonesia",457,989.659282779785,6
5060038380,1256.47142785946,"Indonesia",457,772.774468526009,6
5060038480,1506.13054431816,"Indonesia",457,875.647371209347,6
5060060420,3272.11746973377,"Australia",457,787.141009407082,6
5060060780,740.703468995475,"Australia",457,641.85246558549,6
5060061240,1977.63505605897,"Australia",457,870.419515736439,6
5060244490,4092.12791721495,"Australia",457,933.227354759694,6
5069002110,846.751266501046,"Australia",457,959.197727075759,6
5060061660,1056.33703367303,"Australia",457,916.8076129139,6
5060062110,1072.67337295692,"Australia",457,746.504309504589,6
5060228230,2446.97032968528,"Australia",457,795.272273541912,6
5060232950,739.306319455737,"Australia",457,935.516326323437,6
5060234660,1695.86100946211,"Australia",457,973.778336359313,6
5060062120,2994.20495015357,"Australia",457,738.580467053289,6
5060062200,2382.43031295584,"Australia",457,733.000106115732,6
5060062390,988.344350442303,"Australia",457,749.625061468553,6
5060062480,806.546334412923,"Australia",457,783.375380579156,6
5060062530,2483.94088570061,"Australia",457,812.503495608829,6
5060062540,1707.0126482598,"Australia",457,823.016287002689,6
5060062590,911.218318259931,"Australia",457,825.84413417461,6
5060062680,2257.44988239299,"Australia",457,873.743269179909,6
5060062930,2458.81501310236,"Australia",457,921.135496729867,6
5060062940,1389.02958913863,"Australia",457,938.793316108936,6
5060063030,1549.5965447625,"Australia",457,980.701122550965,6
5060011520,811.818466991664,"Indonesia",458,965.014524470136,6
5060011790,232.627398398823,"Indonesia",458,926.609548161081,6
5060013340,3108.03372490319,"Indonesia",458,107.883222158161,6
5060014000,499.569665340589,"Indonesia",458,369.131955732237,6
5060014020,1424.29878858876,"Indonesia",458,287.071678455341,6
