"Aquifer","CS_max","GWIrKHaKm2","RDS_main","RDS_mainDist","RDS_tot","STS","area_km2","constant","crpkHaKm2","lat_c","lon_c","pet_mm","prec_mm","CC","CntrNm","urbkHaKm2","type","GW","Ir","IrNeed0","IrNeed3","IrNeed6","OverGW0","OverGW3","OverGW6","OverIR0","OverIR3","OverIR6","crp","giniIr","giniGw","giniCr","giniUnsustIr","giniUnsustGw","giniCSI","aq_id","RiverBorder"
"Southern Downs Chalk Aquifer",8293.6459802435,0,362.134685029517,0,2382.18132517261,3.35272148777364,1342.30345715232,1,0.200119395256878,50.8590558294675,-0.47576342413542,603.581587757178,73.1749017327177,"GBR","United Kingdom",0.0172338607731347,"ctrl",0,0.00524494014052829,0.203577726721492,0.0157850236043742,0,0,0,0,0.00524494014052829,0,0,0.203577726721492,0.364433180332286,NA,0.258442433009187,NA,NA,0.097669811513659,1203,FALSE
"Southern Chalk Aquifer",8178.8350890045,0,270.695897301772,0.00297134885084282,1619.26033341813,2.89962774399966,3447.43315408788,1,0.177891433211107,50.8561108540028,-1.86109268561625,593.967997292574,71.4777874627582,"GBR","United Kingdom",0.0102214380288793,"ctrl",0,0.000382475181418622,0.17931752444659,0.0161973947994768,0,0,0,0,0.000382475181418622,0,0,0.17931752444659,-0.74225889250182,NA,0.273514935610681,NA,NA,-0.155765607987327,1204,FALSE
"Salisbury Plain and Hampshire Chalk Aquifer",6618.87264623267,0,265.944244679038,0,830.507902485844,3.32241175677589,2892.98520605643,1,0.324202022211347,51.1843634321789,-1.52063410048378,579.89222200709,69.4494604419917,"GBR","United Kingdom",0.0033848360968965,"ctrl",0,0,0.323939914074714,0,0,0,0,0,0,0,0,0.323939914074714,-0.423880034121315,NA,-0.0429597677810256,NA,NA,-0.0207869102859788,1205,FALSE
"Dumfries Basin Aquifer",6837.14469327477,0,261.541431526263,0,912.494633266089,2.16811794046798,263.276464883388,1,0.150538021459451,55.0673849608081,-3.58375665411832,486.278145916147,97.2884377984798,"GBR","United Kingdom",0.00485738118679937,"ctrl",0,0,0.149326346214297,0,0,0,0,0,0,0,0,0.149326346214297,NA,NA,0.134861870995134,NA,NA,-0.136540580812279,1206,FALSE
"Yorkshire Chalk Aquifer",6503.01596327769,0.0307087653265553,241.182706643513,0.193591894264361,1028.76322521925,2.46388813981376,2008.16678437815,1,0.433870310181488,53.9210701854709,-0.369325111397785,539.45500828374,58.5015639187229,"GBR","United Kingdom",0.00517373907530739,"ctrl",0.0152382326512579,0.0154403071643897,0.436949931405538,0.017725280660564,0,0.0152382326512579,0,0,0.0154403071643897,0,0,0.436949931405538,0.0331723011485004,0.0520535862705491,0.0518118103731304,NA,NA,-0.155392981510475,1207,FALSE
"Lincolnshire Chalk Aquifer",6360.6201135265,0,278.157530486854,0,1032.31383838069,2.28660683654056,1495.02466246989,1,0.434112646751685,53.4344180349697,-0.0669445994318229,567.851897214913,57.2142460417884,"GBR","United Kingdom",0.00389632651578532,"ctrl",0,0.0158825660407384,0.435523307473416,0.00173486906802043,0,0,0,0,0.0158825660407384,0,0,0.435523307473416,-0.245155788616393,NA,0.00153370095131988,NA,NA,-0.0641604615794487,1208,FALSE
"Dublin Basin",5618.06096832038,0,21.2795739825028,0,389.217265300947,2.63405423028854,126.812161154756,1,0.00885887056805276,54.0999715773533,-6.57250560739315,469.160786943499,102.64691952948,"GBR","United Kingdom",0,"treat",0,0,0.00821371392254576,0,0,0,0,0,0,0,0,0.00821371392254576,NA,NA,NA,NA,NA,NA,1209,FALSE
"North-central High Plains",9385.53737829451,0.15768832625737,0.372351538631345,27.1523956340896,80.454322586551,1.0620990688847,18160.9313647806,1,0.558787122788706,38.3836671089851,-101.255326174287,1222.06964665894,35.7354918770334,"USA","United States",0.000101678468235184,"ctrl",0.105714657540429,0.107205652504006,0.558830632552377,0.558830632552377,0.546886570580902,0.105714657540429,0.0989231290460354,0.0856890367785433,0.107205652504006,0.100380142218893,0.0856890367785433,0.558830632552377,-0.0238927304267365,-0.00637400644902941,0.0116349783244555,-0.0279144388277262,-0.000186261542899357,0.118363619284836,1210,FALSE
"South-central High Plains",9944.92452478348,0.0590498887535505,21.5226969648477,9.51997083825874,241.66324749701,1.17497378092892,14463.4788171876,1,0.144529123130056,35.4385481146991,-100.85528561119,1428.87484826524,42.1751804706478,"USA","United States",0.000748030308437504,"ctrl",0.0231744070236267,0.0231744070236267,0.144382390272148,0.13399772230848,0.116098216708056,0.0231744070236267,0.0183030330685418,0.0128419481531209,0.0231744070236267,0.0183030330685418,0.0128419481531209,0.144382390272148,-0.239069994815633,-0.239069994815633,-0.263344912824004,-0.379086901671399,-0.3790869016714,-0.0070795002659918,1211,FALSE
"Equus Beds",9974.71643725217,0.0812229790521703,51.968349313978,3.62603167110291,602.143315466442,1.07648494108616,4989.92363914696,1,0.567249252559405,38.101200521318,-97.6275301217638,1118.55373222264,66.5154475981125,"USA","United States",0.00237173152197591,"ctrl",0.0551068065680514,0.0551068065680514,0.568228237616381,0.567753288938818,0.565570418096217,0.0551068065680514,0,0,0.0551068065680514,0,0,0.568228237616381,-0.0428653952127589,-0.0428653952127589,0.018554469689001,NA,NA,-0.00603349371896722,1212,FALSE
