system:index,CntrName,GW,HYBAS_ID,Ir,IrNeed0,IrNeed3,IrNeed6,OverGW0,OverGW3,OverGW6,OverIR0,OverIR3,OverIR6,area_km2,crp,dummy,lat,lev,lon,.geo
2_00000000000000000fa5,Uzbekistan,0.0,4060419950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.4534120914603,0.0,,40.91889608316382,6,67.8797470194258,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000192,Venezuela,0.0,6069002830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.088776764839,0.0,,11.555875837756012,6,-69.8674204335524,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000193,Venezuela,0.0,6060003110,0.0,5.177801682947846E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1569.94270350102,5.177801682947846E-6,,11.19056156426426,6,-68.66808386982783,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000197,Venezuela,0.0,6060002870,0.0,1.7521539334822263E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5185.34603839809,1.7521539334822263E-5,,11.627428166650269,6,-69.78176480110794,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000198,Venezuela,0.0,6060003100,0.0,1.9603337222977104E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.53151722332,1.9603337222977104E-4,,11.091670579469696,6,-69.21897619724358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000199,Venezuela,0.0,6060002860,0.0,7.85103310115601E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4516.03226909106,7.85103310115601E-5,,10.94129014973663,6,-70.00884375770285,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000019b,Venezuela,0.0,6060002280,0.0,3.091255194927463E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17059.1897069756,3.091255194927463E-5,,10.559080814526961,6,-70.85166216484107,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000019d,Venezuela,0.0,6060003210,7.821682675673478E-4,0.021986791279713168,4.908241935183598E-4,2.277904739434672E-4,0.0,0.0,0.0,7.821682675673478E-4,5.755278158313955E-5,5.755278158313955E-5,17650.3998306687,0.021986791279713168,,10.328384508695418,6,-69.70945098714463,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001a5,Venezuela,0.0,6060001920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.676854194418,0.0,,9.455832352102378,6,-71.91406386258544,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001a6,Venezuela,0.0,6060001950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.927343347011,0.0,,9.247183368071461,6,-71.78502793128526,"{""type"":""MultiPoint"",""coordinates"":[]}"
