system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,.geo
2_00000000000000000f61,Kazakhstan,4040050230,1539.58213628549,,45.9792889753004,4,75.01522178384775,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000f62,Kazakhstan,4049001400,1215.23942968447,,43.82161685271991,4,77.61664447961304,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000fce,Kazakhstan,4040223260,312.609551840016,,45.95944953052392,4,74.55226515802096,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000010b1,Kazakhstan,4040234430,12263.0832872307,,45.13720768929255,4,75.59520725495324,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000010b2,Kazakhstan,4040225090,18688.0609694892,,47.65954566011521,4,74.0459589992523,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b2a,Mali,1040633540,4094.59118715212,,14.484432707975875,4,-11.686894497346833,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b2b,Mali,1040644920,7085.93705292964,,13.960003533160158,4,-11.01695828454222,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001676,Mexico,7040073640,174588.713875667,,25.47003367070929,4,-103.4894461224574,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001678,Mexico,7040007380,34784.2328769714,,26.909698675051917,4,-107.82836729358088,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001679,Mexico,7040006400,116496.222763699,,24.36573510744749,4,-106.2342815133103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000167b,Mexico,7040007390,25396.351562916,,27.340845547758995,4,-109.22678286303207,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000167c,Mexico,7040049990,152825.462296495,,22.181564831613876,4,-99.76852619485898,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000167f,Mexico,7040006390,132582.146130348,,21.25822516359208,4,-102.472351870077,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000010b8,Mongolia,4040050390,175557.302632543,,45.33288590493907,4,105.51627199487221,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b9f,Morocco,1040029430,38022.2213878311,,32.351083801494084,4,-6.773570491436292,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ba0,Morocco,1040029440,20090.8910338222,,33.35655659111281,4,-6.829684436698094,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ba1,Morocco,1040029700,37802.4033679984,,34.10797545628425,4,-5.15683415736968,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000bcc,Morocco,1040029710,7414.87526565765,,35.121104830254495,4,-5.846688221108823,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000729,Mozambique,1040012600,780.046467884006,,-25.312147905814438,4,33.16535959393068,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000072a,Mozambique,1040012590,2661.08110420162,,-24.953374499325225,4,33.50386720838836,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000072b,Mozambique,1041584780,2417.66324391678,,-24.493790630397125,4,33.015848385301034,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000072c,Mozambique,1040011530,4407.44177575887,,-18.29553202259123,4,36.38276057117045,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000837,Mozambique,1040011660,11138.5149276517,,-18.037718275628965,4,34.92697746159744,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000883,Mozambique,1049000800,2097.65961462825,,-15.669409916505899,4,31.76618755255049,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000114f,Myanmar,4040023220,34160.4704671693,,18.98005426002672,4,96.44880554073708,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001150,Myanmar,4040023230,29851.3417454735,,17.009474304309222,4,95.92036884560493,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001151,Myanmar,4040023820,16562.926070757,,16.910105876363286,4,94.85141408255512,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003ff,Netherlands,2049000860,1970.77769530269,,52.67762982542041,4,5.337990357050399,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000114b,Papua New Guinea,5040041230,32937.354761383,,-6.400904489232441,4,144.7306330230659,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000114c,Papua New Guinea,5040047730,88317.3888349507,,-7.120168206925588,4,146.9895869556386,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000114d,Papua New Guinea,5040040360,48240.1658082805,,-8.69283792320352,4,147.12954629163835,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ba2,Portugal,2040018470,22766.8881933873,,38.27332496655643,4,-8.274755108785259,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000bcf,Portugal,2040018850,14873.5652505819,,40.144185852237605,4,-8.444041847864431,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000477,Russia,2040041180,30175.0517151367,,63.51383872768304,4,34.400704215083024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000479,Russia,2040041190,10152.0945513048,,63.89044589478921,4,35.97244468113327,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000047a,Russia,2040039600,121561.750276604,,67.28262607862676,4,35.546006929977764,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000047b,Russia,2040041430,12871.4139814303,,64.50393865869371,4,38.508496443008454,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000047c,Russia,2040041420,64156.0993908793,,62.17060061722192,4,39.221453250748645,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000047d,Russia,2040041850,34435.1865234059,,65.4143999517113,4,42.30409979162554,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000047e,Russia,2040042370,77248.998176576,,64.43551790954845,4,47.69034444716319,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000da2,Russia,2040068690,114.260219434524,,45.59050715611589,4,47.64176206649817,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000df4,Russia,2040309560,91470.3860440109,,56.82938929612208,4,47.1164459753354,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000df5,Russia,2040292690,67499.2639046349,,54.268339214829936,4,45.83128538072761,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000df7,Russia,2040439800,35041.0278244279,,51.03088147172995,4,44.40610015229183,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000df8,Russia,2040439100,61283.8370353294,,51.64099408358954,4,42.828878488092506,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000df9,Russia,2040041840,348728.524907274,,61.78908259472766,4,46.54117698983831,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000dfa,Russia,2040315950,50592.7445296149,,53.779768638383004,4,42.80325618056399,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000dfb,Russia,2040068720,63796.8190756675,,44.52886230709021,4,45.09775041346975,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000dfc,Russia,2040501940,50474.1416850297,,45.97224274821189,4,42.258544863048186,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000dfd,Russia,2040289120,63505.2892439699,,56.13498188671245,4,41.1413192850123,"{""type"":""MultiPoint"",""coordinates"":[]}"
