system:index,CC,CntryNm,GW,Ir,IrNeed0,IrNeed3,IrNeed6,OverGW0,OverGW3,OverGW6,OverIR0,OverIR3,OverIR6,Region,aq_id,code,countrs,crp,dummy,name,.geo
2_0000000000000000031b,USA,United States,0.005620533551518299,0.02438089770602926,0.03390313989894809,0.03246251569094158,0.03211881491906116,0.005620533551518299,0.005620533551518299,0.005620533551518299,0.02438089770602926,0.014588885526158628,0.014588885526158628,AMER,327,N015,Mexico; United States of America,0.03390313989894809,,Valle de Juarez Bolson / Hueco-Tularosa Bolson,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000031c,MEX,Mexico,0.0023092095491129205,0.002661685257983184,0.006990871802277102,0.006210536173517155,0.0024970917715025024,0.0023092095491129205,0.0019383051854928812,0.0019383051854928812,0.002661685257983184,0.0022894140688061067,0.0022894140688061067,AMER,346,N018,Mexico; United States of America,0.006990871802277102,,Las Palmas Aquifer / Mimbres Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000031d,USA,United States,0.0035375668458165503,0.0037028729901607943,0.010390154564193522,0.0077962668574012295,0.0077962668574012295,0.0035375668458165503,0.0030522992236525033,0.0030522992236525033,0.0037028729901607943,0.0031660041421778143,0.0031660041421778143,AMER,346,N018,Mexico; United States of America,0.010390154564193522,,Las Palmas Aquifer / Mimbres Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000031e,CAN,Canada,0.0,0.003346824148034103,0.3658022786470855,0.3653303445790057,0.22232993953170965,0.0,0.0,0.0,0.003346824148034103,0.0,0.0,AMER,70,N019,Canada; United States of America,0.3658022786470855,,Judith River,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000031f,USA,United States,0.0,0.006221823098252248,0.12478642147780147,0.10784634030295234,0.002660342105364927,0.0,0.0,0.0,0.006221823098252248,5.273082053774795E-4,0.0,AMER,70,N019,Canada; United States of America,0.12478642147780147,,Judith River,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000320,CAN,Canada,0.0,0.044074452878420226,0.32884723133317395,0.3276649658349896,0.257062265740711,0.0,0.0,0.0,0.044074452878420226,0.015319426013721634,0.015319426013721634,AMER,69,N020,Canada; United States of America,0.32884723133317395,,Milk River,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000321,USA,United States,0.0,0.003449872575725129,0.3529247927090009,0.3529247927090009,0.12940685469883415,0.0,0.0,0.0,0.003449872575725129,0.0,0.0,AMER,69,N020,Canada; United States of America,0.3529247927090009,,Milk River,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000322,CAN,Canada,0.002943105814693968,0.002943105814693968,0.3482631334235893,0.0,0.0,0.002943105814693968,0.0,0.0,0.002943105814693968,0.0,0.0,AMER,58,N021,Canada; United States of America,0.3482631334235893,,Richelieu/Lake Champlain and Yamaska,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000323,USA,United States,0.0,1.9831582413269645E-4,0.08531127554871872,0.0,0.0,0.0,0.0,0.0,1.9831582413269645E-4,0.0,0.0,AMER,58,N021,Canada; United States of America,0.08531127554871872,,Richelieu/Lake Champlain and Yamaska,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000324,CAN,Canada,0.0,8.758751806413932E-6,0.3493595949365144,0.34542329402868915,0.1864058810099283,0.0,0.0,0.0,8.758751806413932E-6,0.0,0.0,AMER,359,N022a,Canada; United States of America,0.3493595949365144,,Northern Great Plains - Upper Cretaceous Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000325,USA,United States,7.608673676783446E-5,0.0018511899256703384,0.1502961953961358,0.13291769807026088,0.03418701223273445,7.608673676783446E-5,0.0,0.0,0.0018511899256703384,2.1021969063243537E-4,0.0,AMER,359,N022a,Canada; United States of America,0.1502961953961358,,Northern Great Plains - Upper Cretaceous Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000326,CAN,Canada,0.0,5.015982312876461E-6,0.33114331330071095,0.326798004679851,0.19000489909003582,0.0,0.0,0.0,5.015982312876461E-6,0.0,0.0,AMER,360,N022b,Canada; United States of America,0.33114331330071095,,Northern Great Plains - Lower Tertiary Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000327,USA,United States,3.974624693803305E-5,0.0020394344776146944,0.15013495804784022,0.13348187930501426,0.037583820917775866,3.974624693803305E-5,0.0,0.0,0.0020394344776146944,2.4194007186039841E-4,0.0,AMER,360,N022b,Canada; United States of America,0.15013495804784022,,Northern Great Plains - Lower Tertiary Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000328,MEX,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,330,N025,Mexico; United States of America,0.0,,Laguna Salada Aquifer / Coyote Wells Valley,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000329,USA,United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,330,N025,Mexico; United States of America,0.0,,Laguna Salada Aquifer / Coyote Wells Valley,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000032a,MEX,Mexico,0.0,0.0944568046228114,0.11480434565206266,0.11468730286527075,0.11412776905404481,0.0,0.0,0.0,0.0944568046228114,0.09439084681401887,0.09439084681401887,AMER,368,N026,Mexico; United States of America,0.11480434565206266,,Valle de Mexicali - San Luis Rio Colorado Aquifer / Yuma - Imperial Valley,"{""type"":""MultiPoint"",""coordinates"":[]}"
