system:index,CC,CS_max,CntryNm,GWIrKHaKm2,RDS_main,RDS_mainDist,RDS_tot,Region,STS,aq_id,area_km2,code,constant,countrs,crpkHaKm2,dummy,lat_c,lon_c,name,pet_mm,prec_mm,urbkHaKm2,.geo
2_000000000000000001fb,DOM,8777.436834730965,Dominican Republic,0.0,0.0,0.0,293.7253497563728,AMER,2.0264277797528174,209,352.9718714620109,CB001,1.0,Dominican Republic; Haiti,0.05756510233819358,,19.478121126194008,-71.65605577710492,Plaine du Nord?Massacre,1246.9323771868283,100.22204206581992,0.0030857558295996354,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001fc,HTI,8209.196166197624,Haiti,0.0,0.0,0.0,594.3857024465203,AMER,2.243756366649977,209,853.9897700461662,CB001,1.0,Dominican Republic; Haiti,0.05136171210919972,,19.60806818649767,-71.98995731995035,Plaine du Nord?Massacre,1251.6750331379644,113.08361726564823,0.016818655956055,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001fd,DOM,9957.214863106234,Dominican Republic,0.0,0.0,4.775523804451608,153.1043260833185,AMER,2.730347583044174,212,2676.0701593243916,CB002,1.0,Dominican Republic; Haiti,0.020803710362064118,,18.96353552467706,-71.57856040219734,Artibonito,1190.3336371058328,114.28310095585819,9.444511064230177E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001fe,HTI,9511.053442366874,Haiti,0.0,0.0,0.0,513.7980131763026,AMER,2.339151018645968,212,6235.704951530749,CB002,1.0,Dominican Republic; Haiti,0.02934533000790589,,19.083983958777235,-72.11105664295255,Artibonito,1174.1551667756587,122.49387106871613,0.007256351119612101,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ff,DOM,9164.392539781586,Dominican Republic,0.0,0.0,4.301629307267447,177.33253307651438,AMER,4.141732095613945,210,2957.044411753612,CB003,1.0,Dominican Republic; Haiti,0.01911861316263455,,18.40004471816864,-71.5389475446212,Los Lagos,1253.5704194038944,74.63136451397493,0.0010834487344474136,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000200,HTI,9234.397123145603,Haiti,0.0,0.0,0.0,292.34770257473974,AMER,4.808157099697885,210,82.477578149227,CB003,1.0,Dominican Republic; Haiti,0.001759069395601056,,18.44831378588775,-71.85467718512454,Los Lagos,1184.9134801821717,94.09643932220254,4.170466522185148E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000201,DOM,10000.0,Dominican Republic,0.0,0.0,0.8434271511149694,182.11802177438034,AMER,2.9239518183924016,211,160.5311596995786,CB004,1.0,Dominican Republic; Haiti,8.387394684939059E-4,,18.181018117711304,-71.71516452159459,Pedernales,1112.5809802331867,97.41159808649371,2.8697198474056054E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000202,HTI,10000.0,Haiti,0.0,0.0,0.0,360.74440089585664,AMER,1.6360582306830902,211,13.309807155752233,CB004,1.0,Dominican Republic; Haiti,0.01332625969787398,,18.134914839931284,-71.76101809913412,Pedernales,1288.5085831721467,66.11470104177272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000306,CAN,7003.324782478247,Canada,0.17449744974497441,181.4336333633363,0.0,586.5564056405641,AMER,2.3350285028502857,397,170.14720543347576,N001,1.0,Canada; United States of America,0.2170443930385088,,49.03176735119869,-122.28912356240666,Abbotsford-Sumas,657.6313858658596,127.34651112838547,0.013376240636626163,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000307,USA,5804.414129110844,United States,0.12441273708021577,1.0901339829476249,0.0,778.0789728802603,AMER,2.497445872380617,397,207.73302791572473,N001,1.0,Canada; United States of America,0.3253848524910269,,48.96234155637554,-122.39828549694951,Abbotsford-Sumas,647.5365247028944,111.5179463104034,0.004087474164626266,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000308,CAN,5498.90334373733,Canada,0.0,9.734827009183808,38.54961851731169,86.77151901030035,AMER,3.5607716098547235,406,8007.454785676299,N002,1.0,Canada; United States of America,0.006279657175245365,,49.789495104696115,-119.51320635993132,Okanagan-Osoyoos,587.7051500995334,42.52884293840604,0.0018422988067797385,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000309,USA,7758.927569863557,United States,0.0,0.0,0.8483084610656836,189.73021352663338,AMER,2.999946700341114,406,314.3672391871958,N002,1.0,Canada; United States of America,0.014538304416448156,,48.92690697914306,-119.40411145184913,Okanagan-Osoyoos,743.5131572506401,26.395923284272847,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030a,CAN,7390.758271604939,Canada,0.0,0.0,0.7094899644694747,123.8862345679012,AMER,3.4742592592592607,398,41.3228441603934,N003,1.0,Canada; United States of America,0.053506024287992685,,49.01689686278424,-118.44033247451517,Grand Forks,702.1358973999248,39.418562008978625,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030b,USA,5067.827012383905,United States,0.0,0.0,7.011318547447865,76.63119195046443,AMER,4.803018575851395,398,6.949347797954793,N003,1.0,Canada; United States of America,0.040618083303070894,,48.99492267560735,-118.46309221937076,Grand Forks,672.3743608687498,40.89631707946339,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
