"","Aquifer","CC","CS_max","CS_min","GWIrKHaKm2","RDS_main","RDS_mainDist","RDS_tot","STS","area_km2","compact","crpkHaKm2","elev","elong","lat_c","lon_c","m_per_year","ntl","perim_km","pet_mm","pop","prec_mm","slope","urbkHaKm2","nW","mean_dist_LB_km","mean_GWSlp","Broader","Details","TB","dist_to_LB_km"
"1130","Pearl and Chattahoochee Aquifer System","USA",7914.43863008608,3775.72640469957,0.00245920870505793,13.7648147708311,1.91417706969196,302.080449913122,2.7074438155807,35619.8527288197,0.273481207171481,0.00989459695271781,117.332481549734,2.30721425999781,32.0141017588769,-85.0357481119155,-0.00446321,1.00296537369363,1279.34373776569,1086.76821599282,1.17453471721478,1354.53017562118,0.507167204235475,0.000807756925373814,50,1393.71701851178,-2.93800716309355,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,1372.62229685206
"1131","Pecos Valley","USA",6020.0760196573,1027.27107770807,0.000405066823866814,10.2723352615259,16.5034975499705,116.003576352818,2.76297166560538,21815.3004346961,0.537070779884827,0.000590587351681693,917.331560590182,1.39123812469192,31.8844136789416,-103.445806776302,0.0108185,4.41351902435824,714.446591930211,1690.51037963524,0.218609764914351,299.308449026784,0.411876624712437,0.000193721127870262,170,227.850560840375,32.7373649624888,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,233.516486582659
"1132","Peedee and Black Creek and Cape Fear Aquifers","USA",7478.24319967412,3646.32538251804,0.000490926711463523,33.5586482947992,1.77276492288962,757.837411351736,3.03381266966554,34023.5616403935,0.542938928590623,0.0188984294624782,29.2165709343817,1.31972591906392,34.2486330441153,-79.0910830743046,-0.0029845,1.59156008199352,887.399803811704,1071.44226921514,2.60609161569378,1331.38404557001,0.162693885037223,0.00147072455765406,76,1148.73953423628,71.1892992166999,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,1111.41351950068
"1133","Pend Orielle East","USA",4587.81340889137,1347.93586878442,0,0,3.92215372804004,111.650059861122,4.44485992497406,327.358411263798,0.165015526843334,0.000311997050857727,816.793399313592,1.41754973564983,48.1236684017851,-116.107392450895,0.131445,0.452975572373663,157.889874312008,673.579902384045,0.525680941579673,840.11551408679,7.18529513324118,0,1,160.328834588806,131.445005536079,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,147.475622040032
"1134","Pend Orielle West","USA",5556,1550.16473676463,3.21398854179816e-05,0,6.00689154921986,288.037464601647,4.30119962364748,565.629270886353,0.286251181734866,0.000490157985973393,773.34405353799,1.81975804922591,48.1938570521287,-116.615169421202,-0.1193295,0.7673527730222,157.578595676067,683.186168639695,1.92896832310518,779.857058739981,4.78799046150915,0.00073424049499465,4,134.867894986783,-120.548549573869,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,135.63899337881
"1135","Penoyer Valley","USA",1659.79059146127,95.0146673633149,0.00112153446448145,0,39.0263981997188,31.7084937702262,3.29355166105045,695.820217800375,0.371986785989149,0.00121024844185616,1587.51473200176,1.54962439392998,37.6665046214362,-115.797579319776,0.274825,0.291624022493576,153.316782769034,1307.1452856812,0.00601197570188328,176.104061900775,1.80057606236304,0,10,679.314911384646,259.814818732248,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,681.917782699178
"1136","Perote-Zalayeta Aquifer","MEX",6244.36682514908,1224.26586760102,0.00235215711606308,0,0,742.544716400674,2.63711736419981,408.612750628793,0.482351074206711,0.0253069922886916,2418.37351930207,1.04735058476973,19.591512987869,-97.2673574410796,0.03729167,1.79061041096225,103.176137179434,1012.81169776306,15.916698309803,760.849897364898,1.79300534992221,0.00558682801806384,6,705.207948565208,1271.13095225383,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,704.470026645033
"1137","Petaluma Valley","USA",10000,3923.33281813544,0.00567638244098349,90.5237789023401,0,1899.87597506081,1.55531635306288,219.936381543941,0.338552260874476,0.0146287843504577,52.9149355551206,1.29903921959565,38.243616953958,-122.603625947551,0.00809897,3.24587946555271,90.3525908951179,1078.1625636167,19.2995356107987,697.768958801429,1.66100474900319,0.013542476102972,475,993.090173046446,4.8068965694922,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,990.356348723571
"1138","Peumo-Pichidega-La Cabras and Pelequen-Malloa-San Vicente De Tagua Tagua and Laguna San Vicente Aquifers","CHL",7822.25233139613,3245.4940677621,0.000291247568151087,172.846943973718,0,504.98157755206,2.94581648247684,621.419889495944,0.224464005809614,0.024345591979807,219.130163119756,1.7170779101721,-34.3967579277254,-71.1834041045463,0.00785714,1.489354092834,186.519461164676,965.941706236053,8.38154971740357,479.672041711154,2.62594321411521,0.00282480660666202,3,110.469576431578,32.6190488412976,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,108.488414483077
"1139","Piceance Basin Aquifer System","USA",5950.10264216095,1286.94381369451,1.74589278911742e-05,0,47.0094722488359,35.4785704957846,3.15251233398515,1770.89908621907,0.832956850981035,0.000419596251134145,2133.84315783939,1.1474026097906,39.8691024739037,-108.281785518742,0.2339325,0.404665800719812,163.452130849832,894.187241437537,0.0031910997468206,374.709859213722,2.58369896358213,0,4,1118.37274197636,290.686458349228,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,1112.07430446469
