"code","name","CC_1","CC_2","class","classF"
"AF081","Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier","AGO","COG","UB","UB"
"AF081","Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier","COG","GAB","IU1","IU1"
"AF082","Aquifère du Bassin de la Nyanga","COG","GAB","IU1","IU1"
"AF083","Aquifère du Rift / Rift Aquifer","BDI","RWA","IU1","IU1"
"AF083","Aquifère du Rift / Rift Aquifer","COD","RWA","UB","DA"
"AF083","Aquifère du Rift / Rift Aquifer","COD","UGA","UB","DA"
"AF083","Aquifère du Rift / Rift Aquifer","RWA","UGA","UB","DA"
"AF090","Colluvium and residual soils","MOZ","MWI","UB","UB"
"AF094","River alluvium","MOZ","MWI","UB","UB"
"AF095","Ruo River","MOZ","MWI","UB","UB"
"AF102","Mwanza gritty conglomerates","MOZ","MWI","IU1","IU1"
"AF103","Basalt lava flow","MOZ","MWI","UB","UB"
"AF104","Mwanza grits and shales","MOZ","MWI","IU0","IU0"
"AF105","Upper sandstones (grits and sandstones)","MOZ","MWI","IU0","IU0"
"AF106","Lower sandstones","MOZ","MWI","IU1","IU1"
"AF107","Mwanza grits and shales","MOZ","MWI","IU0","IU0"
"AF108","Mwanza grits and shales","MOZ","MWI","IU0","IU0"
"AF109","Basalt lava flow","MOZ","MWI","IU0","IU0"
"AF121","Colluvium and residual soils","MWI","TZA","UB","UB"
"AF122","Mwanza grits and shales","MWI","TZA","IU1","IU1"
"AF123","River alluvium","MWI","TZA","UB","UB"
"AF124","Shire alluvial aquifer","MOZ","MWI","UB","UB"
"AF125","Bulal Basalt","ETH","KEN","IU0","IU1"
"AF126","Kasserine Aquifer System","DZA","TUN","IU1","IU1"
"AS001","Western Mountain Aquifer","EGY","ISR","DA","DA"
"AS001","Western Mountain Aquifer","EGY","PSE","BL","DA"
"AS001","Western Mountain Aquifer","ISR","PSE","BL","DA"
"AS002","Coastal Aquifer Basin","EGY","ISR","DA","DA"
"AS002","Coastal Aquifer Basin","EGY","PSE","BL","BL"
"AS002","Coastal Aquifer Basin","ISR","PSE","BL","BL"
"AS003","Northeastern Mountain Aquifer","ISR","PSE","DA","DA"
"AS004","Anti-Lebanon Mountain range","LBN","SYR","BL","DA"
"AS008","Psou Aquifer","GEO","RUS","IU1","IU1"
"AS010","Upper Jezira","IRQ","SYR","DA","BL"
"AS010","Upper Jezira","IRQ","TUR","BL","BL"
"AS010","Upper Jezira","SYR","TUR","BL","DA"
"AS011","Syrt","KAZ","RUS","UB","DA"
"AS012","Leninak-Shiraks Aquifer","ARM","TUR","DA","DA"
"AS013","Terek Aquifer","GEO","RUS","IU0","IU0"
"AS015","Debed / Debeda River Aquifer","ARM","AZE","IU1","BL"
"AS015","Debed / Debeda River Aquifer","ARM","GEO","BL","BL"
"AS015","Debed / Debeda River Aquifer","AZE","GEO","IU1","BL"
"AS016","Ktsia-Khrami Aquifer","AZE","GEO","IU1","BL"
"AS017","Agstev / Akstafa - Tavush / Tovuz Aquifer","ARM","AZE","DA","DA"
"AS018","Alazan-Agrichay Aquifer","AZE","GEO","UB","DA"
"AS019","Pre-Caspian","KAZ","RUS","UB","DA"
