"","Aquifer","Country","area_km2","nWells","beta_AveDepletion","se_AveDepletion","p_AveDepletion","beta_distTrend","se_distTrend","p_distTrend","lat_c","lon_c","urbkHaKm2","CropSuitIndex","probBorderRiver","RDS_mainDist","SoitTerrainSuit","prec_mm","pet_mm","dist_to_LB_km","depletion_m_yr","TransboundaryAquifer"
"44","Arbon Valley","USA",941.862300091987,20,-23.0778231596362,21.7233042470642,0.301392472713923,0.260329776502004,3.20868023151912,0.936231522468199,42.6835133107878,-112.608028476052,0,7637.27093478673,0,4.48907037204044,1.7530978290756,366.247551401631,916.460660014787,1010.47304096407,0.02078371,FALSE
"45","Arbuckle-Simpson Aquifer","USA",2017.68807935197,10,10.4253648612465,50.2346543847637,0.840213280000843,7.29200942723599,3.76346022442204,0.0886768769446442,34.4561050694151,-96.8711514108062,0,10000,1,8.12459521678637,2.74616084550152,1037.44927958763,1182.69462190545,796.134649111474,-0.03097344,FALSE
"46","Ardestand Basin","IRN",1939.42555124218,26,577.22573820042,84.3412614467396,3.57269683544641e-07,-7.44255136881917,13.5689927461415,0.588417242697887,33.4875686230412,52.4136115474993,0.000678875982710687,2021.13255055864,0,11.4391397417343,4.0079744400558,108.236151128892,1575.57045938635,552.985239798428,0.49769231,FALSE
"47","Arecibo-Manati and Vega Baja-Toa Baja Regions","USA",901.395448984159,25,-52.9608276466964,43.1237772752743,0.23131336840078,0.447059488657988,2.30173304935265,0.847703163737307,18.4117023216252,-66.4520504657197,0.0357295579604317,9837.9554752764,0,0,2.13254436407375,2173.56648548618,1273.82629997184,371.205778893496,-0.02243667,FALSE
"48","Arsanjan Basin","IRN",208.437670700639,12,2636.70213838825,577.033996314,0.000804160884100777,135.152493365404,166.912522891437,0.436944180159591,29.8825921664361,53.3140774194545,0.00358787320173546,6060.43773209981,1,0,5.99089517232393,197.36883889029,1424.2740974143,540.834537955094,2.8184375,FALSE
"49","Asadabad Plain","IRN",410.740185351738,23,893.683846692247,169.401830343181,2.71055035199243e-05,-25.7398930098632,34.4760779019993,0.463581404854028,34.7113954497943,48.0231863102092,0.00267052890623776,4940.672871132,1,0.000363361701244528,3.03307089698394,381.13064128278,1177.5017051241,211.017776628132,0.60535714,FALSE
"50","Ascoy-Soplamo Aquifer","ESP",393.311410215817,4,1552.42410057428,2133.31934261434,0.519446608198694,-207.391663754288,477.533672829262,0.706436079035591,38.3300048683708,-1.26144894828985,0.00237586612664801,5961.39164305396,0,1.70182596631483,3.64877955491027,365.557498221325,1136.47711980352,459.071691931049,2.95109821,FALSE
"51","Ashley Valley","USA",315.695419895388,7,37.2980856669268,28.8514061024862,0.243638712056677,3.7582944545587,3.88186385589739,0.377426735101822,40.4728024929612,-109.560613635868,0.00420054733714395,5327.30374355737,0,0.153315294634676,1.56412950277492,235.96898785286,915.292979355885,1209.36372343934,0.013208,FALSE
"52","Aspas Plain","IRN",1041.52901008715,51,597.040205572249,80.7578597465933,1.45933549501087e-09,7.90236456992432,3.9107872550442,0.0487978257025034,30.5074028775445,52.5119316427583,0.000212270970402725,5517.89259048198,1,4.23218112841997,3.31575445367594,253.980627260801,1222.25657746657,456.05211985441,0.532,FALSE
"53","Assiniboine Delta","CAN",3921.08918556218,124,-0.708176870566823,5.88458392658368,0.904406672305018,0.0438839920258301,0.115970140516039,0.705785422952217,49.8179287097832,-99.3405038780502,0.00012254658105046,9079.38384019852,0,13.1463819796095,1.00353289198745,494.208850630714,553.445031864597,140.236846782253,-0.01403571,FALSE
"54","Astanea-Kochesfahan Plain","IRN",1905.55298206504,51,2.58572400923433,3.7428720888241,0.492861292673535,-0.335623696487901,0.206252095396365,0.110098376945029,37.2863921618074,49.8272578216722,0.00901294751921018,6731.32034067317,0,2.15220168174338,2.66259273178862,1379.29718002742,734.708028943811,194.530775652035,0,FALSE
"55","Astian Aquifer","FRA",437.132500533729,33,-4.86594801432005,13.299535610705,0.716867145933504,4.16180551762032,1.83779699597551,0.0306800502239283,43.3348302155783,3.34629430543317,0.00869250936553641,9181.05538297221,0,0,1.73312427954594,587.720437229547,1085.60311860273,135.171415709713,0.00925,FALSE
"56","Ataiyah Basin","IRN",1509.40040374284,34,277.139157958173,21.2246892397035,1.37964114012589e-14,3.5203568281274,2.14970624660063,0.111303229158966,35.9898657183919,58.1506438882348,0,3348.43391385705,0,3.92512901474112,3.39321076744927,197.267711724475,1322.49419120298,222.590586896372,0.27110101,FALSE
"57","Atlantis Aquifer","ZAF",325.67004172504,5,83.9796994812787,74.7048175549982,0.323846143472631,39.8552300640786,49.6619188468745,0.480936542158071,-33.5974812726082,18.4766121269929,0.00686668831174845,5839.12478348368,1,0,2.29866235469628,441.19743254408,1221.08852578065,607.03735516762,0.03,FALSE
"58","Aveiro Quaternary and Cretaceous Aquifer System","PRT",2469.87646806959,3,74.6130953333333,42.3477003759064,0.220142825046091,0.939992807069984,6.7184360838705,NA,40.4913131479868,-8.61586364305869,0.0134210926885332,6434.62402580502,0.666666666666667,0.000491796551932627,3.45123921634778,850.924637147997,835.559315165969,169.405426927756,0.06861111,FALSE
