"iso3","energy","gdp_pc","agva","agland_km2","agva_ha"
"URY",1.5,23906.5133029408,5199257741.07624,142386,365.152314207593
"USA",0.71,84534.0407841548,223723739000,4215403.674,530.729098093015
"UZB",1.03,3161.70010632875,21068519783.9146,255820,823.568125397334
"VEN",NA,4217.59102643391,15865030890.8213,215000,737.908413526572
"VNM",0.8,4717.29028732449,56516273390.5477,122910.36,4598.1700314398
"XKX",NA,7023.06598512878,821341125.996616,NA,NA
"YEM",0.92,633.887202451545,6210721199.20393,234520,264.826931571036
"ZAF",0.92,6267.186814093,11276969219.4595,963410,117.05264860713
"ZMB",1.4,1187.10943350064,717018297.383375,238390,30.0775325048607
"ZWE",1.34,2497.20332208763,3609131343.75799,161671.216,223.238955767982
